Ministério,Categoria 01,title/pt-BR,body/pt-BR
Saúde,Vigilância Sanitária,Inclusão de advertência nos rótulos dos alimentos industrializados que representem risco para a gravidez.,"Agências de regulação do Governo Federal,  juntamente com o Ministério da Saúde e Institutos de Pesquisa Federais e Estaduais irão elaborar uma lista de substâncias com potencias riscos à saúde das gestantes e dos bebês. Alimentos industrializados que contenham tais substâncias deverão conter em seus rótulos advertência quanto ao consumo por mulheres grávidas e lactantes."
Educação,Métodos de Ensino,Educação para o trânsito a partir da pré-escola ao ensino médio,"Bem sabemos que hoje o trânsito é o que mais mata no Brasil e para melhorar isso devemos incluir na grade curricular da educação a matéria de educação para o transito, que deve ser parte integrante do currículo até o ultimo ano do ensino médio. E o prazo para conseguir a habilitação para dirigir também deve ser estendido,"
Educação,Sugestão de Convênios Interfederativos / Métodos de Ensino,Psicólogos nas escolas ,"Psicólogos ajudariam professores em relação a melhoria do desempenho de alunos na sala de aula.
Ajudariam alunos que estivessem com problemas emocionais e ou decaindo no aprendizado.
Ajudaria se comunicando e orientando familiares dos alunos e até encaminhando alunos com problemas para tratamento psicológico no CAPS, por exemplo.
Também a inserção no currículo de disciplinas que trabalhem Educação Emocional e relações intra e interpessoais desde a Educação Infantil até o Ensino Médio."
Infraestrutura,Ampliação de Infraestrutura,Ferrovia Transnordestina conectada a Pernambuco,"A Transnordestina precisa ser feita em sua completude. Em Pernambuco a obra deve ser realizada ligando Salgueiro, no Sertão, ao Porto de Suape em Ipojuca, sendo fundamental para o desenvolvimento social e econômico do Estado. Somos o 5º maior produtor de avicultura do Brasil, e o milho em grão vem do Centro-Oeste de caminhão. O traçado Salgueiro-Suape, usará o porto de PE como rota de escoamento para o minério de ferro, representando o dobro de volume da exportação atual gerando novos empregos."
Presidência ,Eleições ,Referendo revogatório contra medidas tomadas após 2016,"Após o impeachment ilegítimo da presidenta dilma, o povo brasileiro foi vítima de ataques sucessivos a seus direitos sem que a população fosse consultada. Proponho esse referendo visando a revogação de medidas como:
- reforma previdenciária
-reforma trabalhista
-independência do banco central
-reforma do ensino médio 
- privatização da Eletrobrás e outras empresas estratégicas para a soberania brasileira."
Infraestrutura,Ampliação de Infraestrutura,Mais vagas na creche,Por mais vagas na creche do bairro jardin nery estou desde o ano passado esperando chama-la já perdi até meu emprego por não ter com quem deixar minha bebê
Trabalho e Emprego,Empregabilidade / Novos Programas Governamentais / Reforma Trabalhista,Programa Ajudante Legal para Geração de Emprego e Renda,"O programa reduz encargos trabalhistas para MEIs e pequenas empresas para contratação de mão-de-obra, e é limitado a 1 empregado por CNPJ. O Empregador pagará 1 salário-mínimo e uma taxa mínima destinada a um seguro, do qual o governo também contribuirá. Após 1 ano, o empregado terá direito ao saque do seguro, com rendimentos e valores corrigidos, e ao gozo de férias. O 13º salário será dividido entre governo e empregador. Após 1 ano, o empregador deve converter o empregado para a CLT normal."
Educação,Novos Programas Governamentais,"Incluir (na pratica) no plano de estudo das escolas publicas o tema ""educação Fiscal"".","Educação Fiscal é um tema fundamental na construção de um cidadão consciente de seus direitos e deveres, mas porque não existe nas nas escolas? teoricamente temos essa matéria na ""grade"" mas na pratica não existe, o aluno sai da escola um alienado funcional no que diz respeito a tributos."
Previdência Social,Servidores Públicos,Ampliação do Cadastro de Reserva Concurso do INSS,"O Instituto Nacional do Seguro Social (INSS) sofre com um preocupante déficit de servidores (especialmente no cargo de técnico do seguro social). O Instituto precisa convocar mais servidores, além dos aprovados na lista do cadastro de reserva. 

Por força do anexo II do Decreto Nº 9.739/2019, muitas pessoas aprovadas não vão ser chamadas, assim proponho revogar o anexo  II do Decreto Nº 9.739/2019 e ampliar o cadastro reserva do concurso do INSS 2022 e ampliar o numero de vagas,"
Meio Ambiente e Mudança do Clima,Preservação do Patrimônio Ambiental,Criação da APA da Integração,"A cidade de São Carlos é dividida por uma ampla área verde, conhecida como serrinha do Aracy, formada basicamente pela bacia hidrográfica do córrego da Água Quente. Para que essa área possa ser preservada e garantir mais qualidade de vida, nossa proposta é que a Área em questão se transforme em uma APA, além de gerar emprego e renda no município de São Carlos, tranformando-se em uma importante área de lazer."
Saúde,Medicamentos / Parceria Publico Privada,Programa de vacinação de crianças nas escolas,"Muito comum em outros países como na França, teríamos o acompanhamento de imunização de crianças realizada nas escolas.
Estados e municípios teriam que fazer um planejamento anual de visitação de profissionais de saúde em todas as escolas com o objetivo de avaliar as cadernetas de vacinação e atualização vacinal de todas as crianças.
Antes da atuação dos profissionais de saúde as escolas fariam campanhas com as crianças e os pais com o objetivo de conscientização de adesão ao programa."
Educação,Bolsa Família / Empregabilidade,Incorporação de exigências ao bolsa família em benefício e liberdade para o futuro ,"Trata se de incorporar obrigatoriedade a todos que recebem o bolsa família as seguintes exigências para dar liberdade, perspectiva e dignidade aos beneficiários do programa: 
1 - A oferta do governo de cursos profissionalizante para quem busca ingressar no mercado de trabalho. 
2 - incentivo do programa para os beneficiários que não possuem o nível primário e secundário de ensino com regras rígidas de respeito as escolas e aos professores.
3 - Ofertar vaga de emprego para quem possui profissão."
Cultura,Universidades,Centro de Cultura e Memória da Vila Prado,"No bairro da Vila Prado, na cidade de São Carlos, bairro que completa este ano 130 anos, há um casarão que pertenceu a família do ex-deputado federal  Pereira Lopes, que teve importante participação na criação da UFSCar.
O casarão é um dos principais patrimônios históricos do bairro e está se deterioração. A proposta é que o mesmo possa ser transformado em um centro cultural que valorize o bairro, sua história e sua memória, associada basicamente, aos trabalhadores da ferrovia, no século XIX."
Cultura,Reformas Revitalizantes,Centro Cultural da Imigração Alemã,"Em 2026 a imigração alemã completará 150 anos no município de São Carlos/SP. Entre as contribuições está a fábrica Faber Castel. Porém, a unidade localizada no centro da cidade está abandonada desde 2012. A proposta é que o local se transforme em um centro de valorização da cultura alemã, com escola de lingua, como o Instituto Goethe, um centro de difusão científica como o experiminta, e uma escola técnica de ensino médio, além de um parque público."
" Desenvolvimento, Indústria, Comércio e Serviços",Tratados e Padrões Internacionais / Empregabilidade,Parceria industrial Brasil x EUA,"Com o declínio de parcerias comerciais entre EUA e China, os EUA precisam de um novo celeiro de produção industrial. Eles têm o Brasil como principal candidato a este posto, visto a vantagem geográfica.
Minha sugestão é fazer como a China fez nas últimas décadas e oferecer ""mão de obra barata"" em troca da construção de parques industriais no país, transferência de tecnologia, e uso de matéria-prima e mão de obra majoritariamente nacionais e aprovar uma séria de benefícios estes trabalhadores."
Esporte,Métodos de Ensino / Novos Programas Governamentais,Fabrica de Campeão ,"Projeto Fabrica de Campeão visa a inclusão de crianças jovens e adultos com praticas esportivas cultural na escola  ampliando o desenvolvimento nas escolas e recuperação das notas na educação , visando melhoria do aluno na escola e na sociedade como um todo e a integração na sociedade com qualidade de vida e saúde mental, aprimorando do seu âmbito familiar.
com praticas empreendedorismo e oficinas financeiras e obtendo melhor entendimento de suas forças e fraquezas com novas habilidades futuro"
Justiça e Segurança Pública,Sistema penitenciário,Ressocializar para não reincidir,"Nosso Sistema Penitenciário necessita, com urgência, de um olhar mais atencioso.
Além da superpopulação que há no Sistema Carcerário, sabido por todos, os detentos não têm incentivo para retornar ao convívio social com uma profissão, uma vaga.  Isto faz com que a grande maioria volte a cometer crimes e, consequentemente, retorne ao cárcere.
Existem muitos projetos que precisam de apoio do governo para que essas pessoas, na grande maioria jovens, possam almejar um futuro fora da criminalidade."
